polarization2,year,state,N
3.833800276659697,2015,NEW HAMPSHIRE,76
4.298070574004061,2015,NEW JERSEY,301
4.220299853186089,2015,NEW MEXICO,80
4.529275347581904,2015,NEW YORK,660
4.315812866608985,2015,NORTH CAROLINA,332
4.709915834865738,2015,OHIO,520
4.24126453554516,2015,OKLAHOMA,112
4.443840501545988,2015,OREGON,210
4.6493651269021345,2015,PENNSYLVANIA,741
4.131089888238506,2015,RHODE ISLAND,34
4.4027522390901845,2015,SOUTH CAROLINA,158
3.9403761958931156,2015,SOUTH DAKOTA,45
4.447407067911298,2015,TENNESSEE,223
4.321427586628553,2015,TEXAS,734
4.292120369765179,2015,UTAH,99
4.490608283949949,2015,VIRGINIA,292
4.16719692168407,2015,WASHINGTON,246
4.729107840273949,2015,WEST VIRGINIA,82
4.307390449250278,2015,WISCONSIN,231
4.571640066045514,2015,WYOMING,32
4.649162136597686,2016,ALABAMA,612
4.124225227133145,2016,ALASKA,87
4.432578343178356,2016,ARIZONA,1214
4.392788528217469,2016,ARKANSAS,419
4.57068305765462,2016,CALIFORNIA,4970
4.3336652826640645,2016,COLORADO,810
4.543154869679898,2016,CONNECTICUT,584
4.781830098254566,2016,DELAWARE,221
4.5720892879449195,2016,DISTRICT OF COLUMBIA,165
4.605527145821239,2016,FLORIDA,4078
4.645897080736913,2016,GEORGIA,1668
4.16719336283844,2016,HAWAII,158
4.195553492862556,2016,IDAHO,247
4.457818274220715,2016,ILLINOIS,2154
4.589629785395976,2016,INDIANA,1104
4.371305975341334,2016,IOWA,542
4.450777405116806,2016,KANSAS,434
4.650294107977756,2016,KENTUCKY,760
4.696540892623922,2016,LOUISIANA,533
4.33342330984276,2016,MAINE,254
4.546469443240975,2016,MARYLAND,1023
3.97467121026804,2016,MASSACHUSETTS,1071
4.416398623584163,2016,MICHIGAN,1629
4.3794296865489954,2016,MINNESOTA,873
4.82954350333571,2016,MISSISSIPPI,335
4.477455500418454,2016,MISSOURI,1023
4.459407963285013,2016,MONTANA,142
4.480126566477715,2016,NEBRASKA,300
4.420113166912126,2016,NEVADA,555
4.300639492693762,2016,NEW HAMPSHIRE,276
4.532038213146406,2016,NEW JERSEY,1490
4.456090112322523,2016,NEW MEXICO,303
4.572529966507451,2016,NEW YORK,3555
4.504457794832581,2016,NORTH CAROLINA,1609
4.210671253751547,2016,NORTH DAKOTA,97
4.45156115616706,2016,OHIO,2202
4.495147274091883,2016,OKLAHOMA,515
4.511281581080544,2016,OREGON,826
4.598723904983039,2016,PENNSYLVANIA,2890
3.881643058571042,2016,RHODE ISLAND,153
4.505674409159864,2016,SOUTH CAROLINA,669
4.395108606701884,2016,SOUTH DAKOTA,133
4.436062225867731,2016,TENNESSEE,950
4.41904327635846,2016,TEXAS,3590
4.2929616273450995,2016,UTAH,411
3.8798074213573717,2016,VERMONT,96
4.632490261091288,2016,VIRGINIA,1645
4.375326794751171,2016,WASHINGTON,1149
4.574174683287229,2016,WEST VIRGINIA,320
4.281243621073697,2016,WISCONSIN,1062
4.2251568437692875,2016,WYOMING,80
4.5292898049891885,2017,ALABAMA,208
4.455247002440857,2017,ARIZONA,357
4.0471640425908335,2017,ARKANSAS,123
4.519506629534257,2017,CALIFORNIA,1460
4.394687314749281,2017,COLORADO,254
4.501521151538231,2017,CONNECTICUT,123
4.670441112069194,2017,DELAWARE,65
3.4993391757131804,2017,DISTRICT OF COLUMBIA,43
4.571939339633047,2017,FLORIDA,1109
4.780429194505583,2017,GEORGIA,434
3.918343935854179,2017,HAWAII,40
4.308266095905494,2017,IDAHO,85
4.254999172213978,2017,ILLINOIS,596
4.363885310576617,2017,INDIANA,285
4.25317983144933,2017,IOWA,159
4.1281663254532495,2017,KANSAS,110
4.6750619996321685,2017,KENTUCKY,240
4.82068842766396,2017,LOUISIANA,154
4.334063614664158,2017,MAINE,70
4.577089746707367,2017,MARYLAND,233
4.155214832020016,2017,MASSACHUSETTS,257
4.453073943516259,2017,MICHIGAN,443
4.555565050455229,2017,MINNESOTA,240
4.600099084789216,2017,MISSISSIPPI,101
4.423305610447558,2017,MISSOURI,263
4.650231953016748,2017,MONTANA,48
4.016797774534744,2017,NEBRASKA,77
4.531402452004267,2017,NEVADA,170
3.9281882142164095,2017,NEW HAMPSHIRE,76
4.484483384725122,2017,NEW JERSEY,390
4.3595049594472,2017,NEW MEXICO,111
4.4995250226640735,2017,NEW YORK,839
4.249930074931252,2017,NORTH CAROLINA,452
4.599952627215817,2017,OHIO,639
