district_id,candidate,party_id,value,N,Q,vQ/N
Sydjyllands Storkreds,Torben Elsig-Pedersen,The Danish Social-Liberal Party,1260,9501,8,1.0609409535838332
Sydjyllands Storkreds,Hans Vestager,The Danish Social-Liberal Party,793,9501,8,0.6677191874539522
Sydjyllands Storkreds,Mikkel Wold,The Danish Social-Liberal Party,435,9501,8,0.366277233975371
Sydjyllands Storkreds,Hanna Fogtmann Iversen,The Danish Social-Liberal Party,428,9501,8,0.36038311756657193
Sydjyllands Storkreds,Christopher Røhl Andersen,The Danish Social-Liberal Party,382,9501,8,0.32165035259446373
Sydjyllands Storkreds,Morten Wosylus,The Danish Social-Liberal Party,359,9501,8,0.3022839701084096
Østjyllands Storkreds,Morten Østergaard,The Danish Social-Liberal Party,8777,17285,11,5.5855944460514895
Østjyllands Storkreds,Liv Holm Andersen,The Danish Social-Liberal Party,2424,17285,11,1.5426091987272201
Østjyllands Storkreds,Jeppe Mikkelsen,The Danish Social-Liberal Party,1500,17285,11,0.9545849002024877
Østjyllands Storkreds,Mie Bergmann,The Danish Social-Liberal Party,1002,17285,11,0.6376627133352618
Østjyllands Storkreds,Kåre Albrechtsen,The Danish Social-Liberal Party,884,17285,11,0.5625687011859994
Østjyllands Storkreds,Carsten Bech,The Danish Social-Liberal Party,690,17285,11,0.4391090540931443
Østjyllands Storkreds,Mogens Nyholm,The Danish Social-Liberal Party,645,17285,11,0.4104715070870697
Østjyllands Storkreds,Henriette Sandager,The Danish Social-Liberal Party,626,17285,11,0.39838009835117155
Østjyllands Storkreds,Hanne Staahlnacke,The Danish Social-Liberal Party,468,17285,11,0.29783048886317615
Østjyllands Storkreds,Nils Sjøberg,The Danish Social-Liberal Party,141,17285,11,0.08973098061903384
Østjyllands Storkreds,Tom Brøcher Jakobsen,The Danish Social-Liberal Party,128,17285,11,0.08145791148394561
Vestjyllands Storkreds,Andreas Steenberg,The Danish Social-Liberal Party,2341,7403,6,1.89733891665541
Vestjyllands Storkreds,Sanne Bjørn,The Danish Social-Liberal Party,1670,7403,6,1.3535053356747264
Vestjyllands Storkreds,Brian Bruhn,The Danish Social-Liberal Party,1184,7403,6,0.9596109685262731
Vestjyllands Storkreds,Claus Hansen,The Danish Social-Liberal Party,1054,7403,6,0.8542482777252465
Vestjyllands Storkreds,Erika Lorentsen,The Danish Social-Liberal Party,801,7403,6,0.6491962717817101
Vestjyllands Storkreds,Jes Juul Lauesen,The Danish Social-Liberal Party,353,7403,6,0.2861002296366338
Nordjyllands Storkreds,Marianne Jelved,The Danish Social-Liberal Party,4586,9460,9,4.363002114164905
Nordjyllands Storkreds,Daniel Nyboe Andersen,The Danish Social-Liberal Party,1147,9460,9,1.0912262156448203
Nordjyllands Storkreds,Ninni Lodahl Gjessing,The Danish Social-Liberal Party,1083,9460,9,1.030338266384778
Nordjyllands Storkreds,Anders Høyer,The Danish Social-Liberal Party,745,9460,9,0.7087737843551797
Nordjyllands Storkreds,Thomas Baun,The Danish Social-Liberal Party,657,9460,9,0.6250528541226216
Nordjyllands Storkreds,Nicolaj Holm,The Danish Social-Liberal Party,354,9460,9,0.3367864693446089
Nordjyllands Storkreds,Karina Kroustrup,The Danish Social-Liberal Party,321,9460,9,0.3053911205073996
Nordjyllands Storkreds,Leon Sebbelin,The Danish Social-Liberal Party,318,9460,9,0.3025369978858351
Nordjyllands Storkreds,Kjeld Lundager Jørgensen,The Danish Social-Liberal Party,249,9460,9,0.236892177589852
Københavns Storkreds,Per Stig Møller,The Conservative Peoples Party,7093,12793,11,6.098882201203783
Københavns Storkreds,Rasmus Jarlov,The Conservative Peoples Party,3372,12793,11,2.8993981083404985
Københavns Storkreds,Helle Bonnesen,The Conservative Peoples Party,584,12793,11,0.5021496130696474
Københavns Storkreds,Mogens Lønborg,The Conservative Peoples Party,534,12793,11,0.4591573516766982
Københavns Storkreds,Jette Nøhr,The Conservative Peoples Party,344,12793,11,0.29578675838349094
Københavns Storkreds,Jakob Næsager,The Conservative Peoples Party,260,12793,11,0.2235597592433362
Københavns Storkreds,Pernille Ørsted,The Conservative Peoples Party,217,12793,11,0.18658641444539983
Københavns Storkreds,Nikolaj Bøgh,The Conservative Peoples Party,129,12793,11,0.11092003439380911
Københavns Storkreds,Heidi Winther,The Conservative Peoples Party,107,12793,11,0.09200343938091143
Københavns Storkreds,Channe Bjerringgaard,The Conservative Peoples Party,93,12793,11,0.07996560619088564
Københavns Storkreds,Per Junker Thiesgaard,The Conservative Peoples Party,60,12793,11,0.051590713671539126
