"","GABRIEL.BORIC.FONT.GABRIEL.BORIC.FONT","JOSE.ANTONIO.KAST.RIST.GABRIEL.BORIC.FONT","YASNA.PROVOSTE.CAMPILLAY.GABRIEL.BORIC.FONT","SEBASTIAN.SICHEL.RAMIREZ.GABRIEL.BORIC.FONT","EDUARDO.ARTES.BRICHETTI.GABRIEL.BORIC.FONT","MARCO.ENRIQUEZ.OMINAMI.GUMUCIO.GABRIEL.BORIC.FONT","FRANCO.PARISI.FERNANDEZ.GABRIEL.BORIC.FONT","GABRIEL.BORIC.FONT.JOSE.ANTONIO.KAST.RIST","JOSE.ANTONIO.KAST.RIST.JOSE.ANTONIO.KAST.RIST","YASNA.PROVOSTE.CAMPILLAY.JOSE.ANTONIO.KAST.RIST","SEBASTIAN.SICHEL.RAMIREZ.JOSE.ANTONIO.KAST.RIST","EDUARDO.ARTES.BRICHETTI.JOSE.ANTONIO.KAST.RIST","MARCO.ENRIQUEZ.OMINAMI.GUMUCIO.JOSE.ANTONIO.KAST.RIST","FRANCO.PARISI.FERNANDEZ.JOSE.ANTONIO.KAST.RIST","province"
"33",0.967006980921816,0.00120083289202772,0.789358021471542,0.40914372117521,0.538741972988903,0.985088164046624,0.468510082893491,0,0.99878495171848,0.209771719514141,0.590755569245917,0.457792910947129,0,0.526850563143119,"LLANQUIHUE"
"34",0.999454022488613,0.0140054974101162,0.835780433939594,0.465300215580368,0.572880803835157,0.998471538610334,0.60833807039739,0,0.985751170290371,0.164198396900076,0.534434834109783,0.418433976913435,0,0.371359403132762,"LOS ANDES"
"35",1,0.0267491962438769,0.834746252879122,0.475341548459171,0.592755059631633,1,0.588981959370554,0,0.973039427514003,0.165253747120878,0.524459688162847,0.395358548362907,0,0.390532876660143,"MAGALLANES"
"36",1,0.0190237247806033,0.829824146617364,0.465529855571672,0.573034687972489,0.997580468039404,0.564139411507927,0,0.980868522683493,0.169884361628902,0.534222365938436,0.418288959816321,0,0.415843796679952,"MAIPO"
"37",0.95217829043201,0,0.70169180580247,0.366094633885043,0.512094906402883,0.975580538799903,0.342360047975423,0,1,0.296517822231976,0.633905366114957,0.487905093597117,0,0.657639952024577,"MALLECO"
"38",0.989856115896905,0.0155512644450282,0.816644569286105,0.448906348968064,0.555817412034914,0.990197168891977,0.557104971721145,0,0.984256996995102,0.182630166486079,0.550836709252831,0.437751735010839,0,0.423750389042143,"MARGA MARGA"
"39",0.983942444789238,0.0121359544948597,0.815286669610131,0.431284313677377,0.544353676851739,0.989912031578628,0.516512255539569,0,0.987746865230688,0.183770116423617,0.568556333317213,0.451016971979283,0,0.4692914508118,"MELIPILLA"
"40",0.981904816668319,0.00640251254688194,0.816063780104426,0.438203211751118,0.558116338240449,0.991679180238009,0.472464254819861,0,0.993490894044836,0.183936219895574,0.561565708899553,0.435547021640818,0,0.522229268343725,"OSORNO"
"41",0.958786252240774,0,0.738018467676924,0.387802143141514,0.523740433367738,0.983571461234272,0.379524436637379,0,1,0.260624154806697,0.612197856858486,0.475200335627406,0,0.620475563362621,"PALENA"
"42",0.949191937664406,0,0.780994073662142,0.419737058996226,0.57496559573574,0.969969360685462,0.187339795313858,0,1,0.219005926337858,0.580019787973344,0.417968186421115,0,0.812660204686142,"PARINACOTA"
