"","GABRIEL.BORIC.FONT.GABRIEL.BORIC.FONT","JOSE.ANTONIO.KAST.RIST.GABRIEL.BORIC.FONT","YASNA.PROVOSTE.CAMPILLAY.GABRIEL.BORIC.FONT","SEBASTIAN.SICHEL.RAMIREZ.GABRIEL.BORIC.FONT","EDUARDO.ARTES.BRICHETTI.GABRIEL.BORIC.FONT","MARCO.ENRIQUEZ.OMINAMI.GUMUCIO.GABRIEL.BORIC.FONT","FRANCO.PARISI.FERNANDEZ.GABRIEL.BORIC.FONT","GABRIEL.BORIC.FONT.JOSE.ANTONIO.KAST.RIST","JOSE.ANTONIO.KAST.RIST.JOSE.ANTONIO.KAST.RIST","YASNA.PROVOSTE.CAMPILLAY.JOSE.ANTONIO.KAST.RIST","SEBASTIAN.SICHEL.RAMIREZ.JOSE.ANTONIO.KAST.RIST","EDUARDO.ARTES.BRICHETTI.JOSE.ANTONIO.KAST.RIST","MARCO.ENRIQUEZ.OMINAMI.GUMUCIO.JOSE.ANTONIO.KAST.RIST","FRANCO.PARISI.FERNANDEZ.JOSE.ANTONIO.KAST.RIST","commune"
"147",1,0.097026029202399,0.791413997998649,0.291545807470212,0.990257266645002,1,0.569367728651783,0,0.902973970797601,0.207058691420383,0.690692837110743,0,0,0.425911684396516,"LO PRADO"
"148",0.967049953806669,0.0197626483380715,0.655417734977138,0.236911268795152,0.969638658013978,0.988728082578226,0.513551691428652,0,0.97997742928723,0.341447194430494,0.739741764580172,0,0,0.469825419087486,"LOLOL"
"149",0.967651974398527,0.0432226444378522,0.666799943873759,0.248069131293142,0.945086456339864,0.991862479954346,0.484626480826321,0,0.955653993398447,0.325566711402564,0.731219580189148,0,0,0.494678297358753,"LONCOCHE"
"150",0.950557304431231,0,0.58750087986946,0.207222812616975,0.969026158400941,0.979797649445007,0.439108928636421,0,1,0.4067816900728,0.771131789266854,0,0,0.534379583743155,"LONGAVI"
"151",0.956747269991154,0.00102746180457132,0.597146708469001,0.238188192986382,0.972467603063624,0.989314795783253,0.455555283776026,0,0.998961174320038,0.399966186384051,0.740456753450089,0,0,0.519123664958839,"LONQUIMAY"
"152",0.959805833320693,0.017124917914122,0.646186217122902,0.243988717488529,0.954947645121137,0.989273832705372,0.428640830655378,0,0.982565227966767,0.34605463023382,0.735856802054218,0,0,0.545701011294176,"LOS ALAMOS"
"153",0.997004124649137,0.0805329083293142,0.826702214525306,0.284709694666491,0.999999999999999,1,0.61471983889979,0,0.919467091670686,0.173297785474694,0.700360436976792,0,0,0.385280161100211,"LOS ANDES"
"154",0.952557828412717,0,0.603044055927934,0.18595531940945,0.962021336178951,0.976838927029145,0.392520381960517,0,1,0.385680315369835,0.794679879021708,0,0,0.581694632537317,"LOS ANGELES"
"155",0.954032156041643,0.0117965434286296,0.627302459886848,0.231276859354398,0.963409085380652,0.985939655400303,0.438722896674044,0,0.988031545368965,0.364856586602404,0.747800900440487,0,0,0.535719199402088,"LOS LAGOS"
"156",0.952611780682621,0,0.568815555610454,0.197912288747377,0.967928779671456,0.981097822557748,0.406619631281016,0,1,0.425573566643675,0.780947795445586,0,0,0.564727279334041,"LOS MUERMOS"
