commune,candidate,value,rate_x,votes,rate_y,divisiveness,voters,poverty_rate,hhi,entropy,growth
LITUECHE,ALEJANDRO  GUILLIER ALVAREZ,712.0,0.2582517228871962,1451.0,0.4337817638266069,0.0372073037153818,5912,0.1220730175960753,0.29526569293264654,1.4606043709550074,0.17553004093941066
LITUECHE,SEBASTIAN PIÑERA ECHENIQUE,1239.0,0.44940152339499456,1894.0,0.5662182361733932,0.0371390244735092,5912,0.1220730175960753,0.29526569293264654,1.4606043709550074,0.11681671277839861
LLANQUIHUE,ALEJANDRO  GUILLIER ALVAREZ,2288.0,0.30711409395973155,3979.0,0.5039260385005065,0.0693966762836962,15642,0.1232217400269207,0.21445206972658892,1.677065549312755,0.196811944540775
LLANQUIHUE,SEBASTIAN PIÑERA ECHENIQUE,1969.0,0.26429530201342283,3917.0,0.4960739614994934,0.0579640741137265,15642,0.1232217400269207,0.21445206972658892,1.677065549312755,0.23177865948607057
LO BARNECHEA,ALEJANDRO  GUILLIER ALVAREZ,2789.0,0.060535683278346936,6645.0,0.13603422862757944,0.0504815276152073,74117,0.05503074095958906,0.5408718200305305,1.0243804561539294,0.0754985453492325
LO BARNECHEA,SEBASTIAN PIÑERA ECHENIQUE,33344.0,0.7237367598541413,42203.0,0.8639657713724206,0.0847118492200148,74117,0.05503074095958906,0.5408718200305305,1.0243804561539294,0.14022901151827927
LO ESPEJO,ALEJANDRO  GUILLIER ALVAREZ,12012.0,0.3070081275877933,24053.0,0.5906200122774709,0.0520227690116864,93275,0.1439451335280441,0.22594288641881072,1.631299227002255,0.2836118846896776
LO ESPEJO,SEBASTIAN PIÑERA ECHENIQUE,9425.0,0.24088841179778153,16672.0,0.40937998772252915,0.0493850454549541,93275,0.1439451335280441,0.22594288641881072,1.631299227002255,0.16849157592474762
LO PRADO,ALEJANDRO  GUILLIER ALVAREZ,12008.0,0.28297396017438436,24841.0,0.5551681752151079,0.0487126828245531,90439,0.1371940886012782,0.22966561616169695,1.616947552672166,0.2721942150407235
LO PRADO,SEBASTIAN PIÑERA ECHENIQUE,12200.0,0.2874985271591846,19904.0,0.4448318247848922,0.0499826719597667,90439,0.1371940886012782,0.22966561616169695,1.616947552672166,0.15733329762570758
LOLOL,ALEJANDRO  GUILLIER ALVAREZ,740.0,0.25570145127850724,1474.0,0.43803863298662704,0.0484431480936359,6554,0.1438317853820431,0.2771642494611495,1.5084691178435756,0.1823371817081198
LOLOL,SEBASTIAN PIÑERA ECHENIQUE,1235.0,0.4267449896337249,1891.0,0.561961367013373,0.0541402207218075,6554,0.1438317853820431,0.2771642494611495,1.5084691178435756,0.13521637737964803
LONCOCHE,ALEJANDRO  GUILLIER ALVAREZ,2313.0,0.24693071420945875,4232.0,0.4083365495947511,0.0481983178893534,22362,0.1680879841127793,0.27085336656063874,1.547672703842493,0.16140583538529232
LONCOCHE,SEBASTIAN PIÑERA ECHENIQUE,4011.0,0.42820540194299134,6132.0,0.5916634504052489,0.0678530374904845,22362,0.1680879841127793,0.27085336656063874,1.547672703842493,0.1634580484622576
LONGAVI,ALEJANDRO  GUILLIER ALVAREZ,2467.0,0.2301305970149254,4499.0,0.3552590018951358,0.0401065080235346,25681,0.1641776640808014,0.29208401787703275,1.5019968013576557,0.12512840488021043
LONGAVI,SEBASTIAN PIÑERA ECHENIQUE,4977.0,0.4642723880597015,8165.0,0.6447409981048642,0.0546743154018952,25681,0.1641776640808014,0.29208401787703275,1.5019968013576557,0.18046861004516268
LONQUIMAY,ALEJANDRO  GUILLIER ALVAREZ,844.0,0.1974269005847953,1652.0,0.3419581867108259,0.0523144103133805,11634,0.2241622640173118,0.33805700215450907,1.3922923761115569,0.14453128612603058
LONQUIMAY,SEBASTIAN PIÑERA ECHENIQUE,2247.0,0.5256140350877193,3179.0,0.6580418132891741,0.0832945097586246,11634,0.2241622640173118,0.33805700215450907,1.3922923761115569,0.1324277782014548
LOS ALAMOS,ALEJANDRO  GUILLIER ALVAREZ,2452.0,0.3105369807497467,3751.0,0.42098765432098767,0.0595440162373274,17286,0.1693883455919553,0.2524458025250239,1.5713342235326078,0.11045067357124094
LOS ALAMOS,SEBASTIAN PIÑERA ECHENIQUE,2765.0,0.350177304964539,5159.0,0.5790123456790124,0.0549017716021277,17286,0.1693883455919553,0.2524458025250239,1.5713342235326078,0.22883504071447336
LOS ANDES,ALEJANDRO  GUILLIER ALVAREZ,6574.0,0.252787818195801,12567.0,0.45621868873883686,0.0630608312785758,54875,0.1031862571052119,0.25025769909556955,1.5642972771378276,0.20343087054303588
LOS ANDES,SEBASTIAN PIÑERA ECHENIQUE,9570.0,0.3679920018457279,14979.0,0.5437813112611631,0.0681272607246395,54875,0.1031862571052119,0.25025769909556955,1.5642972771378276,0.17578930941543525
LOS ANGELES,ALEJANDRO  GUILLIER ALVAREZ,10982.0,0.16827814468059024,21049.0,0.2767456842714209,0.0482794696900308,156194,0.1345595685385791,0.31218459769778323,1.4731433440122703,0.10846753959083064
LOS ANGELES,SEBASTIAN PIÑERA ECHENIQUE,32976.0,0.5052941266606396,55010.0,0.7232543157285791,0.0741003845480825,156194,0.1345595685385791,0.31218459769778323,1.4731433440122703,0.21796018906793957
LOS LAGOS,ALEJANDRO  GUILLIER ALVAREZ,2082.0,0.2628787878787879,3704.0,0.4439650005993048,0.0484953052078813,18267,0.145320839809035,0.24087800352004898,1.6162275627822047,0.18108621272051695
LOS LAGOS,SEBASTIAN PIÑERA ECHENIQUE,2917.0,0.3683080808080808,4639.0,0.5560349994006952,0.0539256406540286,18267,0.145320839809035,0.24087800352004898,1.6162275627822047,0.18772691859261442
LOS MUERMOS,ALEJANDRO  GUILLIER ALVAREZ,1408.0,0.20620972466315174,2612.0,0.33500064127228424,0.0404169220841324,15801,0.1655464395412805,0.2978848595105649,1.4959766064730817,0.1287909166091325
