province,candidate,value,rate_x,votes,rate_y,divisiveness,voters,hhi,entropy,growth
SAN ANTONIO,JOSE ANTONIO KAST RIST,19001.0,0.24414720016446945,35222.0,0.38151666468084183,0.0842078984650412,151558,0.19143002710721524,1.7662865930446987,0.13736946451637239
SAN FELIPE DE ACONCAGUA,GABRIEL BORIC FONT,15481.0,0.2557743779532763,44255.0,0.6256715489453147,0.0528701915102932,126305,0.18640648075971558,1.7652944287808119,0.36989717099203845
SAN FELIPE DE ACONCAGUA,JOSE ANTONIO KAST RIST,13815.0,0.2282490169513928,26477.0,0.3743284510546853,0.0579380527351612,126305,0.18640648075971558,1.7652944287808119,0.14607943410329252
SANTIAGO,GABRIEL BORIC FONT,699127.0,0.31431722379277355,1573540.0,0.5992328795502079,0.0958375991183288,4475972,0.2108248627637127,1.701958402073163,0.2849156557574343
SANTIAGO,JOSE ANTONIO KAST RIST,561141.0,0.2522807462396685,1052384.0,0.4007671204497921,0.0982351151708513,4475972,0.2108248627637127,1.701958402073163,0.14848637421012362
TALAGANTE,GABRIEL BORIC FONT,33363.0,0.27827080587852604,90871.0,0.6293267033256229,0.0632450399130939,235781,0.1878464607860809,1.770266666248009,0.35105589744709687
TALAGANTE,JOSE ANTONIO KAST RIST,27749.0,0.23144611073114585,53523.0,0.37067329667437704,0.0526379321955817,235781,0.1878464607860809,1.770266666248009,0.1392271859432312
TALCA,GABRIEL BORIC FONT,33523.0,0.2100662351252953,98848.0,0.5195198351798516,0.0645173458149948,339093,0.19066523701719432,1.7457274369049487,0.30945360005455624
TALCA,JOSE ANTONIO KAST RIST,45062.0,0.28237343576696766,91420.0,0.48048016482014844,0.0541726790987147,339093,0.19066523701719432,1.7457274369049487,0.19810672905318077
TIERRA DEL FUEGO,GABRIEL BORIC FONT,848.0,0.30926331145149527,1848.0,0.6509334272631209,0.0931545090368086,8071,0.20999781341224202,1.693826074324486,0.3416701158116256
TIERRA DEL FUEGO,JOSE ANTONIO KAST RIST,718.0,0.2618526622902991,991.0,0.3490665727368792,0.0835732224861576,8071,0.20999781341224202,1.693826074324486,0.08721391044658011
TOCOPILLA,GABRIEL BORIC FONT,1773.0,0.17552717552717553,7402.0,0.7022770398481973,0.044242771202361,28369,0.260468927234594,1.591477534093167,0.5267498643210218
TOCOPILLA,JOSE ANTONIO KAST RIST,1401.0,0.1386991386991387,3138.0,0.29772296015180266,0.0395298410226389,28369,0.260468927234594,1.591477534093167,0.15902382145266397
ULTIMA ESPERANZA,GABRIEL BORIC FONT,2560.0,0.29432053345596687,6415.0,0.6292917402393565,0.0598428193280339,24306,0.20396783280103242,1.7103404788303025,0.33497120678338965
ULTIMA ESPERANZA,JOSE ANTONIO KAST RIST,2200.0,0.25293170843872154,3779.0,0.37070825976064353,0.0678655672151204,24306,0.20396783280103242,1.7103404788303025,0.117776551321922
VALDIVIA,GABRIEL BORIC FONT,30380.0,0.2540749847371018,75998.0,0.5372060310032587,0.0783938522229836,262089,0.20946298347231726,1.6986960052366566,0.28313104626615687
VALDIVIA,JOSE ANTONIO KAST RIST,37139.0,0.3106020690635689,65471.0,0.46279396899674136,0.0674666151614869,262089,0.20946298347231726,1.6986960052366566,0.15219189993317245
VALPARAISO,GABRIEL BORIC FONT,100961.0,0.3002950571970756,227514.0,0.5874194123069059,0.0760800653003411,696419,0.21170578258891423,1.704422473894047,0.28712435510983025
VALPARAISO,JOSE ANTONIO KAST RIST,95384.0,0.28370701296229095,159797.0,0.4125805876930942,0.0873005515327072,696419,0.21170578258891423,1.704422473894047,0.12887357473080324
